Year,Rnd,DT,OvPck,RdPck,Tm,Name,Pos,WAR,G,AB,HR,BA,OPS,OBP,SLG,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2002,9,,263,11,Marlins,Eric Reed (minors),OF,-0.6,60,61,0,0.098,0.265,0.167,0.098,,,,,,,4Yr,"Texas A&M University (College Station, TX)"
2004,10,,308,27,Marlins,Brett Carroll (minors),3B,1.2,180,288,5,0.201,0.599,0.28,0.319,,,,,,,4Yr,"Middle Tennessee State University (Murfreesboro, TN)"
2004,5,,158,27,Marlins,Brad Davis (minors),C,0.4,33,109,3,0.211,0.647,0.27,0.376,,,,,,,4Yr,"California State University Long Beach (Long Beach, CA)"
2005,8,,246,16,Marlins,Aaron Bates (minors),1B,0,5,11,0,0.364,0.962,0.417,0.545,,,,,,,4Yr,"North Carolina State University (Raleigh, NC)"
2005,2s,,79,31,Marlins,*Brett Hayes (minors),C,-1.3,189,434,13,0.205,0.609,0.25,0.359,,,,,,,4Yr,"University of Nevada-Reno (Reno, NV)"
2005,4,,126,16,Marlins,Gaby Sanchez (minors),C,2.9,700,1998,61,0.254,0.744,0.332,0.413,,,,,,,4Yr,"University of Miami (Coral Gables, FL)"
2006,1s,,36,36,Marlins,*Chris Coghlan (minors),3B,1.2,666,2244,46,0.268,0.751,0.34,0.411,,,,,,,4Yr,"University of Mississippi (Oxford, MS)"
2006,5,,155,19,Marlins,Chris Hatcher (minors),C,-0.3,136,9,0,0,0.182,0.182,0,,3,9,4.48,1.34,4,4Yr,"University of North Carolina at Wilmington (Wilmington, NC)"
2006,3,,95,19,Marlins,Scott Cousins (minors),OF,-0.5,135,179,2,0.179,0.515,0.23,0.285,,,,,,,4Yr,"University of San Francisco (San Francisco, CA)"
2006,9,,275,19,Marlins,John Raynor (minors),OF,0,11,10,0,0.2,0.473,0.273,0.2,,,,,,,4Yr,"University of North Carolina at Wilmington (Wilmington, NC)"
2007,48,,1401,11,Marlins,Jake Elmore (minors),2B,-2,138,340,4,0.215,0.566,0.277,0.288,,0,0,4.5,1.5,0,JC,"Wallace State Community College (Hanceville) (Hanceville, AL)"
2010,7,,227,22,Marlins,Mark Canha (minors),RF,1.1,124,441,16,0.254,0.742,0.315,0.426,,,,,,,4Yr,"University of California, Berkeley (Berkeley, CA)"
2011,9,,283,12,Marlins,Austin Barnes (minors),C,0.1,20,29,0,0.207,0.637,0.361,0.276,,,,,,,4Yr,"Arizona State University (Tempe, AZ)"
